ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00376,-0.0157118074238319,0.0080066349885786,0.0122938473131625,-0.0564365116646298,-0.0025712454457568,0.014191861145389,0.0089161420887463,0.0077167625965173,-0.0001336043911173,0.0182300728542349,-0.0047760957511721,-0.0120502954187729,-0.0010417992096843,,-0.0057890640411184,-0.0216747398092665,-0.0097250262970414,-0.0138044505375396,0.0136347236053502,0.0085459898609325,0.0040472205464647,0.002746763227947,-0.0029408554495721,-0.0345846690445777
ECB_00377,-0.006931403623821,-0.0053935070914854,-0.0531610172821353,0.000380159383928,-0.0013435504939237,0.0193176136759012,-0.0050854130564,-0.0003387485687088,-0.0017341564367104,0.0068937203184165,-0.0196207452094519,-0.0159692405817244,,0.0423479438503143,-0.0201666775886739,-0.0147175263191313,-0.0038740301941571,-0.0078900081679578,-0.0042171849758652,-0.0149982153649391,-0.0003964712271219,-0.0071639579856393,-0.0226626274549809,0.0039385886785078
ECB_00378,,0.0128412887774978,-0.0096537378832717,-0.0373369907531973,0.0009571090138142,0.0287262989690741,,,-0.0435184305347769,-0.0071181860121619,,,-0.0060716442170158,-0.0009951708473599,-0.0077308688557115,,,-0.0355337508112284,,,,,0.0336788303561133,
ECB_00487,0.0155174046421801,0.0165591738508055,0.0103386060305807,-0.0289950155673801,-0.0265515697656649,-0.0137200875254636,-0.0071727278126745,-0.0194375969531532,-0.0013086898390404,0.0172119251897101,-0.0411298370166692,-0.0048663226600799,0.0125113118132601,0.0037527975747272,-0.0019435232236083,-0.0370409990320809,,,0.0168126902023235,-0.0442942304473703,0.007501421120452,-0.0167041683624975,-0.0019404455728791,-0.019795967655376
ECB_00488,-0.0063939547290969,,0.0021503497913075,0.0073654928810354,-0.0570734440523239,-0.006111471325865,,-0.0037801314687498,-0.0008422692676416,-0.0144693362881404,0.0088299129072994,,-0.0091303807694727,-0.0667909306048591,0.0080734973038595,-0.0316622394132204,-0.183350851293395,-0.0086501377996518,-0.0023672129180143,-0.0195736678317089,0.0708186326295451,0.0053290866795494,-0.0231901323011856,
ECB_00489,0.000989155911461,0.020086179950977,0.0079561537274343,-0.0022918429415262,0.0192142828302165,-0.0117752168239103,0.0117846373531058,0.0245822294266993,0.0017632537347402,0.0141976922830252,,-0.0531113664014596,,-0.0127369077025966,,-0.03705060408358,,-0.002748092856585,-0.0302977739636242,,0.0007635648935996,,-0.0057737619960455,-0.0215854942849369
ECB_00490,-0.100139690962601,0.0040799595802056,0.0336200563061706,-0.0052150479358661,-0.0148427650034036,,-0.0078556183710396,0.001663701522158,-0.0075857384726798,0.0086642705562747,,0.003416657349443,-0.007771456311381,-0.0081099970463473,-0.0031711216409493,0.0052886269306569,-0.0266630691313481,0.0092172815013054,-0.0137743998647141,-0.0037384787496626,-0.0137356045018158,-0.0114663079833647,-0.0039745215129831,
ECB_00491,-0.0585416821230888,0.0079060221884786,0.0183447717239664,-0.0785510163740264,-0.0078791710600888,,0.0181930956790541,-0.0089062618634888,-0.0155777108396132,-0.0046385676334659,,-0.11487339122108,,0.023664746055061,0.0093644900464486,,-0.0002889757163008,-0.0405686947482369,,-0.005921165446628,0.0252896886607093,,,-0.0054762839078879
ECB_00503#1,-0.0144964510212148,0.0218981130510646,0.0194363513628376,-0.0012119234027777,-0.0091750341165469,-0.0130458285273133,0.0268685397073147,0.0178674352786509,-0.0017967780304506,-0.0044899784040963,9.82845784046847e-05,-0.0233275219820073,0.0247224249262253,-0.0054380525997916,0.0001052156706959,-0.0066527272059138,,-0.0106433108195918,-0.0267158248533643,0.0031050343655901,-0.0014695189186584,0.0111632483866211,,-0.0336433453862215
ECB_00503#2,0.0029290685932487,0.013107291784259,-0.019592205917563,-0.0039661926709175,-0.0228215017171477,0.0425651038624418,-0.0320630926547958,0.0149154775658106,0.0126749326595356,-0.0021656669375623,,-0.0651236148708485,-0.0016580917295078,-0.0483193703339027,,-0.001811923640872,-0.0019788013410632,-0.0522954784247431,,0.0087916161604582,-0.0161220727357726,,,
